ID,INDUSTRY,Question 1002: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 1002: By changing the way the people I work with and I use electricity, my organisation can reduce its electricity bill",Question 10012: My organisation has already done a lot to reduce the amount of electricity it uses,Question 10012: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 10012: My organisation would like to do more to reduce electricity usage,Question 10012: My organisation knows what it needs to do in order to reduce electricity usage,Question 10012: My organisation cannot control how much electricity it uses,"Question 170: Approximately what percentage of non wage costs does your organisation spend on electricity? ASSUME BUSINESS PROFILE, HOURS OF BUSINESS HAVE NOT CHANGED, EQUIPMENT, OPENING HOURS HAVE NOT CHANGED.",Question 300: Has your organisation had an audit of its energy use in the past 12 months?,Question 301: Is your organisation curently on a nightsaver tariff?,Question 320: Does your organisation have regular monitoring and reporting of trends in its energy use?,"Question 340: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 350: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 6012: My business has become more aware of the cost of the electricity it uses,Question 6012: My business has invested in more energy efficient equipment to reduce its use of electricity of usage,Question 6012: My business reviewed its electricity usage in order to identify ways of reducing it,Question 6012: My business identified easy to implement changes which reduced the amount of electricity it used,Question 6012: Managers were given targets to reduce their use of electricity,Question 6012: Participation in the trial had no impact on the business,Question 6020: By what amount do you think that your electricity bills changed as a result of the trial?,Question 6030: Do you think that your overall electricity usage (units or kWh) changed during the trial?,Question 6502: The tariff (the different prices charged for using electricity at different times of day and night) helped the business to reduce its overall usage of electricity,Question 6502: The tariff made the business become more aware about how it used electricity,"Question 9030: When you first received this energy usage statement how effective did you find it in helping your business reduce its electricity usage, using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?",Question 9040: And over the entire trial how effective did you find the energy usage statement in helping your business reduce its electricity usage using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?,Question 20000: Have you installed timing switches on any of your electrical appliances/equipment?,"Question 200007: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 200008: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 5432: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 5432: By changing the way the people I work with and I use electricity, I can reduce my electricity bill",Question 5442: My organisation has already done a lot to reduce the amount of electricity it uses,Question 5442: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 5442: My organisation would like to do more to reduce electricity usage,Question 5442: My organisation knows what it needs to do in order to reduce electricity usage,Question 5442: My organisation cannot control how much electricity it uses,Question 5422: Approximately what % savings on the average bill did you achieve?,Question 5512: The overall quality of the electricity supply,Question 5512: The percentage of electricity being generated from renewable sources,Question 5512: The number of estimated bills your organisation receives,Question 5512: The level of wastage of electricity in the home or office,Question 5512: The overall cost of electricity,Question 5512: The environmental damage associated with the amount of electricity used,,
1021,3,2,2,2,2,2,2,3,5,2,2,2,1,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
1023,3,1,1,2,2,2,1,3,5,2,1,1,1,2,5,1,3,4,1,4,2,2,1,2,5,5,2,2,2,1,1,5,5,3,2,5, ,1,3,1,2,3,2,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,5,15,2,2,2,2,3,3,,
1050,3,2,2,2,2,2,2,4,7,2,1,2,1,2,4,2,2,4,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,50,2,4,4,4,4,4,,
1056,2,2,3,3,2,1,1,5,80,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,3,3,2,2,4, ,1,4,3,3,3,3,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,1,1,2,2,4,999,1,5,3,3,5,5,,
1137,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,1,1,5,5,5,999,2,4,4,2,4,3,,
1145,3,1,1,2,2,1,2,5,20,1,2,1,2,2,5,1,5,5,5,1,2,2,1,1,5,5,1,1,2,2,2,2,2,2,3,2, ,2,2,2,4,4,4,,
1146,3,3,4,1,1,3,3,4,5,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,3,2,5,4,3,4,4, ,3,3,3,3,3,3,,
1172,4,1,3,3,4,1,2,4,0,2,2,2,2,2, , , , , , , , , , , , ,1,1,2,1,3,2,2,3,4,2, ,2,3,2,2,4,4,,
1177,3,1,1,1,1,1,1,4,10,2,2,1,1,2,5,1,5,1,1,2,2,2,1,1, , ,1,1,2,2,4,3,3,2,2,4, ,4,3,4,2,5,3,,
1181,2,2,2,2,2,2,4,2,3,2,2,2,1,2, , , , , , , , , , , , ,2,2,2,1,2,4,3,1,3,3, ,2,3,3,3,4,3,,
1228,4,2,2,2,2,2,2,4,4,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,2,4,1,3,4, ,1,4,2,2,4,4,,
1254,4,3,2,3,4,4,4,3,10,2,1,2,2,2,4,4,4,4,3,3,3,3,3,4, , ,1,1,1,1,2,1,1,1,1,5, ,1,3,1,2,2,2,,
1258,1,1,4,3,2,3,2,1,99,2,1,2,1,2,5,1,4,3,2,2,2,3,1,1,5,4,2,2,2,2,2,2,2,2,5,2, ,1,2,1,2,2,2,,
1285,4,2,1,1,1,2,2,5,0,2,2,2,2,2,1,5,1,2,1,5,3,3,4,4, , ,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,2,1,2, ,4,5,5,4,4,5,,
1333,4,1,2,5,3,1,4,5,10,2,2,2,2,2,5,1,3,2,1,2,3,3,4,5,1,3,2,2,2,1,1,4,4,2,4,4, ,3,4,3,3,4,2,,
1345,3,1,1,1,1,1,1,1,3,2,2,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
1356,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,5,5,2,2,1, ,1,3,2,2,5,4,,
1369,2,1,1,1,1,4,1,1,99,2,1,2,2,2,1,1,1,1,1,1,3,3,5,5, , ,2,2,2,1,1,5,4,1,3,5, ,1,3,3,3,3,2,,
1370,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,5,5,1,5,5, ,1,5,3,5,5,3,,
1386,4,1,2,3,2,2,2,3,0,1,2,2,2,2,5,4,4,4,1,3,3,3,4,4,4,4,1,2,2,1,1,3,3,1,3,3, ,2,5,5,5,5,4,,
1391,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,3,1, ,1,4,3,4,4,3,,
1400,2,1,1,3,3,5,3,5,0,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,5,1,1,5,1,10,1,4,1,2,5,4,,
1401,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,1,1,4, ,1,5,5,5,5,5,,
1414,3,1,2,3,3,1,2,4,0,2,2,2,2,2,3,3,1,4,1,1,3,3,5,5, , ,,,,,,,,,,,,,,,,,,,
1415,2,1,2,2,2,2,2,5,1,1,2,2,2,2,4,1,3,4,1,2,2,2,1,1,3,3,2,2,2,1,4,1,1,1,1,5,5,1,4,4,1,5,5,,
1427,3,1,1,2,2,1,3,3,99,2,2,2,2,2,4,1,1,1,1,1,3,3,5,3, , ,2,2,2,1,1,4,4,1,4,4, ,1,4,3,4,5,3,,
1439,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,4,2,4,3, ,2,4,2,3,2,3,,
1456,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,2,999,1,1,1,1,2,3,,
1457,4,1,2,3,3,2,3,4,40,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,5,5,1,5,4, ,1,3,3,3,2,5,,
1465,4,1,1,4,4,1,4,1,99,2,1,2,2,2,2,1,1,1,1,1,2,3,5,5,1,1,2,2,2,1,1,4,4,1,4,1, ,2,5,2,5,5,5,,
1478,4,3,3,4,4,3,1,1,1,2,2,2,1,2, , , , , , , , , , , , ,1,2,2,3,3,4,4,2,2,5, ,1,3,3,3,4,3,,
1503,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,2,2,4,3,4,4, ,2,4,2,3,4,4,,
1524,3,1,3,2,2,2,2,4,5,2,2,2,2,2, , , , , , , , , , , , ,2,1,2,2,2,2,2,3,2,4, ,3,2,3,4,3,3,,
1525,4,1,3,5,1,1,5,1,3,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,1,1,1,3,1,5,3, ,3,5,5,5,5,5,,
1583,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,3,3,2,2,2, ,2,4,1,1,4,3,,
1602,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,4,4,1,4,1, ,1,5,3,5,5,5,,
1617,3,1,3,1,4,1,2,5,1,1,2,1,1,2, , , , , , , , , , , , ,1,2,2,1,1,4,1,1,2,5, ,1,2,2,4,3,4,,
1637,3,1,2,4,4,2,2,5,1,2,1,2,2,2,4,2,1,1,1,4,3,3,4,2,2,2,1,2,2,1,1,4,2,1,5,4, ,2,5,2,5,3,5,,
1649,2,1,1,3,3,1,3,4,1,2,2,2,2,2,4,2,2,2,2,5,3,3,2,2,4,4,2,2,2,1,1,2,2,1,3,2, ,2,3,3,2,3,3,,
1651,3,1,1,4,4,1,1,4,0,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,4,4,4,4,3,5,1, ,2,4,2,5,2,2,,
1655,3,1,3,1,2,1,3,1,2,2,1,1,2,2,5,5,5,5,1,5,1,1,4,2,1,1,1,2,2,1,1,4,3,1,4,5, ,2,5,2,1,1,5,,
1683,3,2,2,1,1,1,1,4,5,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,2,4,3,3,4, ,2,3,2,3,3,2,,
1685,3,1,4,2,1,1,1,4,0,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,1,3,1,4,1,1,4,999,1,3,3,4,4,3,,
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,5,5,1,4,4, ,1,5,4,5,5,5,,
1693,1,1,2,3,4,1,3,2,0,2,1,2,2,2,1,1,1,1,1,1,3,3,5,5, , ,,,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,3,3,2,4,3, ,2,3,3,3,4,4,,
1719,1,1,1,1,3,1,1,1,15,2,2,1,2,1,5,1,5,5,4,2,2,2,1,1,4,4,,,,,,,,,,,,,,,,,,,
1723,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,3,3,2,4, ,1,4,2,2,3,3,,
1732,4,1,1,1,1,1,2,5,20,1,2,2,1,2, , , , , , , , , , , , ,2,2,2,1,3,3,3,1,3,2, ,1,1,4,3,5,3,,
1737,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,4,2,999,1,4,2,3,4,3,,
1743,3,4,1,2,1,4,1,2,0,2,1,2,2,2,5,1,1,1,4,2,3,3,2,2, , ,1,2,2,2,2,2,1,1,2,2,10,2,4,3,4,3,3,,
1803,3,4,5,5,4,4,3,4,0,2,1,1,2,2,5,2,4,5,1,1,2,2,1,1,4,4,2,2,2,1,1,5,5,1,5,2, ,1,5,1,5,4,4,,
1806,1,3,4,4,3,3,2,3,0,2,2,2,2,2,4,3,3,3,3,4,2,3,2,3,6,1,2,2,2,1,1,3,1,1,2,1,5,4,3,2,3,5,3,,
1853,1,1,2,3,3,2,2,3,5,2,1,2,1,2,4,3,3,3,3,3,3,2,3,2,4,4,2,1,2,2,2,2,2,1,2,3, ,2,3,2,4,3,3,,
1873,4,3,5,3,5,2,4,1,5,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,2,5,5,3,3,3, ,3,3,3,2,3,4,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,4,3,1,4,4, ,1,3,1,3,5,3,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,1,1,3,1,10,1,4,2,4,3,2,,
1995,4,1,1,2,2,1,3,5,12,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,2,1,2,2,4,999,2,3,2,2,3,4,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,4,1,4,2, ,2,3,4,4,3,4,,
2024,1,3,1,3,5,3,2,1,1,2,2,2,2,2,2,1,1,2,1,4,3,3,5,3, , ,,,,,,,,,,,,,,,,,,,
2082,2,1,1,3,3,1,3,3,99,2,2,1,1,2,5,3,3,3,1,1,4,5,1,1,5,5,,,,,,,,,,,,,,,,,,,
2094,4,3,1,1,1,3,1,5,1,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,2,2,1,2,5, ,1,4,2,4,2,4,,
2100,4,4,4,4,4,4,4,1,5,2,2,2,2,2,3,3,3,3,3,3,3,3,5,5, , ,1,2,2,2,2,4,4,3,4,2, ,2,3,4,4,4,3,,
2102,4,2,3,2,2,2,2,3,1,2,2,2,2,2,4,4,2,4,1,3,2,2,2,2,4,4,2,2,2,3,2,5,3,3,1,5, ,3,5,2,4,4,4,,
2107,3,1,1,1,1,1,4,3,10,2,1,1,1,2,5,5,5,3,1,1,1,2,1,1,4,5,2,1,2,2,2,1,1,2,4,2,999,1,2,4,2,2,2,,
2111,4,1,5,5,5,1,1,5,99,2,2,2,1,2,3,3,4,2,1,5,3,3,5,5,1,1,2,2,2,1,3,4,5,2,5,3, ,1,4,2,3,4,4,,
2125,1,3,4,2,2,3,4,3,0,1,2,2,2,2, , , , , , , , , , , , ,1,2,2,3,1,5,5,3,5,2, ,1,4,2,5,3,3,,
2175,3,1,1,1,1,1,1,5,5,2,1,2,1,2, , , , , , , , , , , , ,2,2,2,1,1,1,1,1,3,2,5,3,3,2,4,4,3,,
2200,3,1,1,3,3,1,1,5,0,2,1,2,2,2,5,2,5,3,1,1,3,3,4,3,3,3,2,1,2,1,1,5,3,1,2,4, ,1,2,2,4,5,3,,
2220,4,2,2,4,4,2,2,4,1,2,1,2,2,2,4,1,2,2,1,4,3,3,5,5,2,2,2,2,2,2,2,4,4,2,2,2, ,2,3,2,2,4,4,,
2242,1,1,2,3,2,1,3,5,15,2,1,2,2,2,5,5,3,3,1,4,3,3,3,3,3,3,2,2,2,1,1,2,2,1,4,5,999,1,3,2,4,5,4,,
2272,4,1,2,3,3,1,4,3,2,2,1,1,1,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
2277,3,1,1,3,3,1,3,1,8,2,2,2,1,2,5,3,3,3,1,1,2,2,1,1, , ,,,,,,,,,,,,,,,,,,,
2286,2,1,1,5,5,1,5,1,99,2,2,1,2,2, , , , , , , , , , , , ,2,2,2,1,1,2,2,1,4,4, ,2,3,3,3,4,3,,
2305,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,4,4,2,2,4, ,1,2,1,4,4,4,,
2351,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,5,5,1,5,3, ,5,5,3,1,3,5,,
2372,4,1,1,1,3,1,1,1,99,2,2,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
2376,2,1,4,1,1,1,1,4,0,2,2,1,2,2, , , , , , , , , , , , ,2,2,2,2,2,3,3,2,3,3, ,1,2,3,4,4,3,,
2386,3,1,3,2,3,1,1,3,0,2,1,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
2392,4,1,2,2,5,3,2,3,15,2,1,1,1,2, , , , , , , , , , , , ,2,2,2,1,4,1,4,2,2,3, ,1,2,2,3,2,3,,
2402,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,5,5,999,1,3,4,5,3,5,,
2413,4,1,1,2,4,2,3,4,0,2,1,2,2,2, , , , , , , , , , , , ,1,1,2,1,1,3,3,2,4,2, ,3,4,2,4,4,4,,
2441,1,1,1,2,2,2,4,1,5,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,2,2,1,5,3, ,1,5,5,5,5,1,,
2488,3,1,1,4,4,1,4,1,10,2,2,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
2506,1,3,5,5,5,3,3,5,99,2,1,2,2,2, , , , , , , , , , , , ,1,2,2,1,1,4,4,1,4,1, ,1,1,2,3,1,1,,
2516,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,2,3,1,4,2,5,4,4,,
2521,3,1,1,1,1,1,3,3,3,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,4,4,1,2,4, ,2,3,2,5,5,3,,
2524,2,2,1,1,2,2,3,2,0,2,2,2,2,2,1,1,1,1,1,5,3,3,5,5, , ,2,2,2,1,1,2,2,2,4,2, ,2,5,2,2,4,4,,
2527,1,1,1,4,4,1,3,1,99,1,2,2,2,2,5,1,1,1,1,4,3,3,5,1,5,5,,,,,,,,,,,,,,,,,,,
2550,2,5,5,5,5,5,5,5,99,2,1,2,2,2,4,1,1,1,1,3,3,3,2,2, , ,2,2,2,1,3,4,4,1,2,4, ,1,4,2,3,4,3,,
2554,2,1,4,1,1,1,1,4,6,2,2,2,1,2,5,1,5,5,1,1,2,2,1,1,5,5,2,2,2,1,1,1,1,1,3,4,15,1,3,2,3,2,2,,
